IMDb Ranking,Title,Year Release,Age Rating,Runtime,IMDb Rating,Country,Director(s),Top Casts,Original Language,Budget,Gross (Worldwide),Poster,Movie URL
61,Avengers: Infinity War,2018,PG-13,2 hours 29 minutes,8.4,United States,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson",English,"$321,000,000 (estimated)","$2,052,415,039","https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt4154756/
62,Sunset Boulevard,1950,Approved,1 hour 50 minutes,8.4,United States,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark",English,"$1,752,000 (estimated)","$310,112","https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0043014/
63,Spider-Man: Into the Spider-Verse,2018,PG,1 hour 57 minutes,8.4,Canada,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry","English, Spanish","$90,000,000 (estimated)","$393,602,435","https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt4633694/
64,Witness for the Prosecution,1957,Approved,1 hour 56 minutes,8.4,United States,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams","English, German","$3,000,000 (estimated)","$7,903","https://m.media-amazon.com/images/M/MV5BNjRhNTQzMzQtMWViMi00ODQ1LTg0MTEtYWE4ZWZlYjM4YjJhXkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg",https://www.imdb.com/title/tt0051201/
65,Paths of Glory,1957,Approved,1 hour 28 minutes,8.4,United States,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris","English, German, Latin","$935,000 (estimated)","$8,290","https://m.media-amazon.com/images/M/MV5BNmQ2NmI2ODYtMDQzNS00NzQyLTkzZjgtZmZlYTQ5MTc1OWU3XkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg",https://www.imdb.com/title/tt0050825/
66,The Shining,1980,R,2 hours 26 minutes,8.4,United Kingdom,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson",English,"$19,000,000 (estimated)","$47,964,195","https://m.media-amazon.com/images/M/MV5BNmM5ZThhY2ItOGRjOS00NzZiLWEwYTItNDgyMjFkOTgxMmRiXkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",https://www.imdb.com/title/tt0081505/
67,The Great Dictator,1940,G,2 hours 5 minutes,8.4,United States,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell","English, Esperanto, Latin","$2,000,000 (estimated)","$972,212","https://m.media-amazon.com/images/M/MV5BMjc4ZjEwNDUtMjlmZS00NzQ4LTg2N2MtMGI3ZjMyMmM3ZDM2XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0032553/
68,12th Fail,2023,2h 27m,2 hours 27 minutes,8.7,India,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi, Anshuman Pushkar, Geeta Agrawal Sharma",Hindi,N/A,"$138,288","https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_QL75_UY281_CR12,0,190,281_.jpg",https://www.imdb.com/title/tt23849204/
69,Inglourious Basterds,2009,R,2 hours 33 minutes,8.4,United States,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent, Christoph Waltz","English, German, French, Italian","$70,000,000 (estimated)","$321,460,744","https://m.media-amazon.com/images/M/MV5BODZhMWJlNjYtNDExNC00MTIzLTllM2ItOGQ2NGVjNDQ3MzkzXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0361748/
70,Aliens,1986,R,2 hours 17 minutes,8.4,United Kingdom,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser, Lance Henriksen","English, Spanish","$18,500,000 (estimated)","$131,060,248","https://m.media-amazon.com/images/M/MV5BZjIyNGJhYzYtN2I1My00OTVhLWEyMzItZTVjNDMzOTVkYWViXkEyXkFqcGc@._V1_QL75_UX190_CR0,3,190,281_.jpg",https://www.imdb.com/title/tt0090605/
71,The Dark Knight Rises,2012,PG-13,2 hours 44 minutes,8.4,United States,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman, Joseph Gordon-Levitt","English, Arabic","$250,000,000 (estimated)","$1,114,976,407","https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1345836/
72,Coco,2017,PG,1 hour 45 minutes,8.4,United States,"Lee Unkrich, Adrian Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor","English, Spanish","$175,000,000 (estimated)","$814,641,172","https://m.media-amazon.com/images/M/MV5BMDIyM2E2NTAtMzlhNy00ZGUxLWI1NjgtZDY5MzhiMDc5NGU3XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",https://www.imdb.com/title/tt2380307/
73,Amadeus,1984,PG,2 hours 40 minutes,8.4,United States,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice, Simon Callow","English, Italian, Latin, German, French","$18,000,000 (estimated)","$52,114,930","https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg",https://www.imdb.com/title/tt0086879/
74,Toy Story,1995,G,1 hour 21 minutes,8.3,United States,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn",English,"$30,000,000 (estimated)","$394,436,586","https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0114709/
75,Avengers: Endgame,2019,PG-13,3 hours 1 minute,8.4,United States,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson","English, Japanese, Xhosa, German","$356,000,000 (estimated)","$2,799,439,100","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt4154796/
76,Good Will Hunting,1997,R,2 hours 6 minutes,8.3,United States,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton",English,"$10,000,000 (estimated)","$225,933,435","https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",https://www.imdb.com/title/tt0119217/
77,Oldboy,2003,R,2 hours,8.3,South Korea,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok, Ji Dae-han",Korean,"$3,000,000 (estimated)","$17,617,021","https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0364569/
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1 hour 35 minutes,8.3,United Kingdom,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens","English, Russian","$1,800,000 (estimated)","$9,631,984","https://m.media-amazon.com/images/M/MV5BMjFjYzBlOTktMTI2OS00ZWVhLTgxMDUtNzAwODY2NmI3YTAzXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg",https://www.imdb.com/title/tt0057012/
79,Das Boot,1981,2h 29m,2 hours 29 minutes,8.4,West Germany,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch, Martin Semmelrogge","German, English, French","DEM 32,000,000 (estimated)","$11,489,051","https://m.media-amazon.com/images/M/MV5BNGU0MWZlMTUtM2Y3Ny00NGNmLWE5NmEtN2YxOWQzMGM3ZWYzXkEyXkFqcGc@._V1_QL75_UX190_CR0,3,190,281_.jpg",https://www.imdb.com/title/tt0082096/
80,Braveheart,1995,R,2 hours 58 minutes,8.3,United States,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen, James Robinson","English, French, Latin, Gaelic, Italian","$72,000,000 (estimated)","$213,216,216","https://m.media-amazon.com/images/M/MV5BNGMxZDBhNGQtYTZlNi00N2UzLWI4NDEtNmUzNWM2NTdmZDA0XkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0112573/
81,American Beauty,1999,R,2 hours 2 minutes,8.3,United States,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari",English,"$15,000,000 (estimated)","$356,296,601","https://m.media-amazon.com/images/M/MV5BMDI1MDE0OTMtMmI2MS00Yjc2LTg2MTItMWExYTg5NzA1OGUzXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0169547/
