IMDb Ranking,Title,Year Release,Age Rating,Runtime,IMDb Rating,Country,Director(s),Top Casts,Original Language,Budget,Gross (Worldwide),Poster,Movie URL
152,A Beautiful Mind,2001,PG-13,2 hours 15 minutes,8.2,United States,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer, Paul Bettany",English,"$58,000,000 (estimated)","$316,791,257","https://m.media-amazon.com/images/M/MV5BNzljZTk5ZDgtZTQ1Zi00NTM4LThlOGUtZDk2MGM4NDQ4NWQyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0268978/
153,The Treasure of the Sierra Madre,1948,Approved,2 hours 6 minutes,8.2,United States,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane","English, Spanish","$3,000,000 (estimated)","$5,014,000","https://m.media-amazon.com/images/M/MV5BOWM1YjFmODEtMWNhMC00YmI1LWI0Y2EtYzg0YTBhZWI4ODE3XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0040897/
154,Prisoners,2013,R,2 hours 33 minutes,8.2,United States,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo, Maria Bello",English,"$46,000,000 (estimated)","$122,127,446","https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1392214/
155,Yojimbo,1961,Not Rated,1 hour 50 minutes,8.2,Japan,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa, Isuzu Yamada",Japanese,N/A,"$68,196","https://m.media-amazon.com/images/M/MV5BYzFkODA1N2QtY2UyMC00NTMwLWEyNzctMmE3YjIzNzE1MzY4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0055630/
156,Finding Nemo,2003,G,1 hour 40 minutes,8.2,United States,"Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett","English, Japanese, Russian","$94,000,000 (estimated)","$941,637,960","https://m.media-amazon.com/images/M/MV5BMTc5NjExNTA5OV5BMl5BanBnXkFtZTYwMTQ0ODY2._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0266543/
157,Howl's Moving Castle,2004,PG,1 hour 59 minutes,8.2,Japan,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa, Ryûnosuke Kamiki",Japanese,"$24,000,000 (estimated)","$241,005,727","https://m.media-amazon.com/images/M/MV5BMTY1OTg0MjE3MV5BMl5BanBnXkFtZTcwNTUxMTkyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0347149/
158,The Great Escape,1963,Approved,2 hours 52 minutes,8.2,United States,John Sturges,"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson, James Donald","English, German, French, Russian, Spanish","$4,000,000 (estimated)","$230,637","https://m.media-amazon.com/images/M/MV5BMDRhNmJjMzEtMWU5MC00YmEyLTg3ZmYtNzYxZTI1ZGU4ZjI1XkEyXkFqcGc@._V1_QL75_UX190_CR0,8,190,281_.jpg",https://www.imdb.com/title/tt0057115/
159,Monty Python and the Holy Grail,1975,PG,1 hour 31 minutes,8.2,United Kingdom,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones","English, French, Latin, Swedish","£229,575 (estimated)","$2,931,902","https://m.media-amazon.com/images/M/MV5BYWY4YmUzZmUtMzQ0ZS00N2Y2LWJlODQtN2IwMDc1MWQwMmU3XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0071853/
160,The Elephant Man,1980,PG,2 hours 4 minutes,8.2,United States,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud, Wendy Hiller","English, French","$5,000,000 (estimated)","$26,034,325","https://m.media-amazon.com/images/M/MV5BMGE3MDZhNmMtMmUxZS00MDJmLTgxYmQtOGU4ODU0Y2JmNDI1XkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0080678/
161,Dial M for Murder,1954,PG,1 hour 45 minutes,8.2,United States,Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings, John Williams, Anthony Dawson",English,"$1,400,000 (estimated)","$45,313","https://m.media-amazon.com/images/M/MV5BZmYzNDgzYjgtNmU3Ny00YzUxLWE3OWUtMjIxZmNkYTVhNDZmXkEyXkFqcGc@._V1_QL75_UY281_CR9,0,190,281_.jpg",https://www.imdb.com/title/tt0046912/
162,Klaus,2019,PG,1 hour 36 minutes,8.2,Spain,"Sergio Pablos, Carlos Martínez López","Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Neda Margrethe Labba","English, Saami","$40,000,000 (estimated)",N/A,"https://m.media-amazon.com/images/M/MV5BZDA4ODhlMzctNGRmYi00NmViLTkxZGYtZjRkNGQ5YzYwYWVlXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt4729430/
163,Gone with the Wind,1939,G,3 hours 58 minutes,8.2,United States,Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil, Evelyn Keyes",English,"$3,977,000 (estimated)","$402,382,193","https://m.media-amazon.com/images/M/MV5BYmYxZTE3YzMtYmE2Yy00NmFlLTkzYTAtYTAzN2IzNDFkN2E0XkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg",https://www.imdb.com/title/tt0031381/
164,Chinatown,1974,R,2 hours 10 minutes,8.1,United States,Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, John Hillerman","English, Cantonese, Spanish","$6,000,000 (estimated)","$29,232,347","https://m.media-amazon.com/images/M/MV5BNmRmZTE0NmUtZjhiZi00MzQ3LTk3ZjctN2Q3ODYzY2U3MDk3XkEyXkFqcGc@._V1_QL75_UX190_CR0,3,190,281_.jpg",https://www.imdb.com/title/tt0071315/
165,Rashomon,1950,Not Rated,1 hour 28 minutes,8.2,Japan,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, Minoru Chiaki",Japanese,"$250,000 (estimated)","$139,819","https://m.media-amazon.com/images/M/MV5BZDlkYjViMDAtYjkxNy00ZDk1LWE5MmUtNDc4NDU3ZWJmOTYzXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0042876/
166,The Secret in Their Eyes,2009,R,2 hours 9 minutes,8.2,Argentina,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo, Javier Godino",Spanish,"$2,000,000 (estimated)","$35,079,650","https://m.media-amazon.com/images/M/MV5BMTgwNTI3OTczOV5BMl5BanBnXkFtZTcwMTM3MTUyMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1305806/
167,"Lock, Stock and Two Smoking Barrels",1998,R,1 hour 47 minutes,8.1,United Kingdom,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham, Steven Mackintosh",English,"£960,000 (estimated)","$3,753,929","https://m.media-amazon.com/images/M/MV5BMmY1M2M5ZmMtYzllZC00YzAxLTk4MjktZDJkNjA1MTUwMGQ4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0120735/
168,V for Vendetta,2005,R,2 hours 12 minutes,8.1,United States,James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea, Stephen Fry","English, French, Latin, Spanish","$54,000,000 (estimated)","$134,686,457","https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0434409/
169,Inside Out,2015,PG,1 hour 35 minutes,8.1,United States,"Pete Docter, Ronnie Del Carmen","Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling, Phyllis Smith","English, Portuguese, Latvian","$175,000,000 (estimated)","$859,076,254","https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt2096673/
170,"Three Billboards Outside Ebbing, Missouri",2017,R,1 hour 55 minutes,8.1,United Kingdom,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones, Kerry Condon",English,"$15,000,000 (estimated)","$162,729,321","https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt5027774/
171,The Bridge on the River Kwai,1957,PG,2 hours 41 minutes,8.1,United Kingdom,David Lean,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa, James Donald","English, Japanese, Thai","$3,000,000 (estimated)","$27,201,366","https://m.media-amazon.com/images/M/MV5BNzdkYmU2YmItNmZiYy00OWQyLTg0YWYtZmUxM2U3YTRiNTQ1XkEyXkFqcGc@._V1_QL75_UX190_CR0,6,190,281_.jpg",https://www.imdb.com/title/tt0050212/
172,Catch Me If You Can,2002,PG-13,2 hours 21 minutes,8.1,United States,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye","English, French","$52,000,000 (estimated)","$352,114,312","https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0264464/
173,Trainspotting,1996,R,1 hour 33 minutes,8.1,United Kingdom,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle",English,"£1,500,000 (estimated)","$16,992,984","https://m.media-amazon.com/images/M/MV5BYmVkNGJkMzQtYWQwOS00OTZmLThjODQtZjNjNzllYzRiNTE0XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0117951/
174,Raging Bull,1980,R,2 hours 9 minutes,8.1,United States,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto",English,"$18,000,000 (estimated)","$23,405,883","https://m.media-amazon.com/images/M/MV5BMjlkYmYyZWQtNTZkOS00ZjA0LWEwNWUtNzE2ZGNiYjg0MjA2XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0081398/
175,The Wild Robot,2024,1h 42m,1 hour 42 minutes,8.2,United States,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu","English, German, French, Spanish, Swahili, Japanese","$78,000,000 (estimated)","$333,165,945","https://m.media-amazon.com/images/M/MV5BZWNiZjVlZTUtNGUwYi00MjJmLTg2MDctNWEzYTJiMzY1ODc4XkEyXkFqcGc@._V1_QL75_UX190_CR0,10,190,281_.jpg",https://www.imdb.com/title/tt29623480/
176,Fargo,1996,R,1 hour 38 minutes,8.1,United Kingdom,"Joel Coen, Ethan Coen","William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare, Kristin Rudrüd",English,"$7,000,000 (estimated)","$60,611,975","https://m.media-amazon.com/images/M/MV5BNjg4MWE0MjEtODFhNy00MjA5LTg5ODktMzgwNWFmZTAwNjBlXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0116282/
177,Warrior,2011,PG-13,2 hours 20 minutes,8.1,United States,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison, Frank Grillo","English, Spanish","$25,000,000 (estimated)","$23,308,615","https://m.media-amazon.com/images/M/MV5BMTk4ODk5MTMyNV5BMl5BanBnXkFtZTcwMDMyNTg0Ng@@._V1_QL75_UX190_CR0,6,190,281_.jpg",https://www.imdb.com/title/tt1291584/
178,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2 hours 10 minutes,8.1,United Kingdom,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon, Ralph Fiennes","English, Latin","$125,000,000 (estimated)","$1,342,505,340","https://m.media-amazon.com/images/M/MV5BOTA1Mzc2N2ItZWRiNS00MjQzLTlmZDQtMjU0NmY1YWRkMGQ4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt1201607/
179,Gran Torino,2008,R,1 hour 56 minutes,8.1,Germany,Clint Eastwood,"Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her, Brian Haley","English, Hmong","$33,000,000 (estimated)","$269,958,228","https://m.media-amazon.com/images/M/MV5BMTc5NTk2OTU1Nl5BMl5BanBnXkFtZTcwMDc3NjAwMg@@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1205489/
180,Million Dollar Baby,2004,PG-13,2 hours 12 minutes,8.1,United States,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel, Mike Colter","English, Irish Gaelic, German","$30,000,000 (estimated)","$216,763,646","https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0405159/
181,Ben-Hur,1959,G,3 hours 32 minutes,8.1,United States,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet, Hugh Griffith",English,"$15,000,000 (estimated)","$74,439,376","https://m.media-amazon.com/images/M/MV5BNjg2M2E1YzYtOThmMC00NjAyLWI5MzgtMDEwOGFiODdlOGUzXkEyXkFqcGc@._V1_QL75_UX190_CR0,3,190,281_.jpg",https://www.imdb.com/title/tt0052618/
182,Mad Max: Fury Road,2015,R,2 hours,8.1,Australia,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz, Hugh Keays-Byrne","English, Russian","$150,000,000 (estimated)","$380,437,267","https://m.media-amazon.com/images/M/MV5BZDRkODJhOTgtOTc1OC00NTgzLTk4NjItNDgxZDY4YjlmNDY2XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1392190/
183,My Neighbor Totoro,1988,G,1 hour 26 minutes,8.1,Japan,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto",Japanese,"$3,700,000 (estimated)","$30,419,471","https://m.media-amazon.com/images/M/MV5BYWM3MDE3YjEtMzIzZC00ODE5LTgxNTItNmUyMTBkM2M2NmNiXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0096283/
184,Barry Lyndon,1975,PG,3 hours 5 minutes,8.1,United Kingdom,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger, Steven Berkoff","English, German, French","$11,000,000 (estimated)","$283,918","https://m.media-amazon.com/images/M/MV5BNmM2MGQ5Y2UtYzA3ZC00ZDJlLTkwNDYtMjBmZGExZDJiN2RlXkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg",https://www.imdb.com/title/tt0072684/
185,Dead Poets Society,1989,PG,2 hours 8 minutes,8.1,United States,Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen","English, Latin, French","$16,400,000 (estimated)","$235,860,116","https://m.media-amazon.com/images/M/MV5BMDYwNGVlY2ItMWYxMS00YjZiLWE5MTAtYWM5NWQ2ZWJjY2Q3XkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0097165/
186,Spider-Man: No Way Home,2021,PG-13,2 hours 28 minutes,8.2,United States,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau","English, Tagalog","$200,000,000 (estimated)","$1,921,426,073","https://m.media-amazon.com/images/M/MV5BMmFiZGZjMmEtMTA0Ni00MzA2LTljMTYtZGI2MGJmZWYzZTQ2XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt10872600/
187,Children of Heaven,1997,PG,1 hour 29 minutes,8.2,Iran,Majid Majidi,"Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi, Fereshte Sarabandi",Persian,"$180,000 (estimated)","$933,933","https://m.media-amazon.com/images/M/MV5BZWZlMjNhNzgtZGRhOS00Y2U5LThjOTctODNjZTI0ZTBiYzBhXkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg",https://www.imdb.com/title/tt0118849/
188,12 Years a Slave,2013,R,2 hours 14 minutes,8.1,United Kingdom,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt, Dwight Henry",English,"$20,000,000 (estimated)","$187,734,091","https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt2024544/
189,Hacksaw Ridge,2016,R,2 hours 19 minutes,8.1,United States,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer, Richard Pyros","English, Japanese","$40,000,000 (estimated)","$180,563,636","https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_QL75_UX190_CR0,6,190,281_.jpg",https://www.imdb.com/title/tt2119532/
190,Before Sunrise,1995,R,1 hour 41 minutes,8.1,United States,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, Karl Bruckschwaiger","English, German, French","$2,500,000 (estimated)","$6,568,450","https://m.media-amazon.com/images/M/MV5BZDZhZmI1ZTUtYWI3NC00NTMwLTk3NWMtNDc0OGNjM2I0ZjlmXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0112471/
191,The Grand Budapest Hotel,2014,R,1 hour 39 minutes,8.1,United States,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody, Willem Dafoe","English, French, German","$25,000,000 (estimated)","$174,567,384","https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt2278388/
192,Blade Runner,1982,R,1 hour 57 minutes,8.1,United States,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh","English, German, Cantonese, Japanese, Hungarian, Arabic, Korean","$28,000,000 (estimated)","$41,767,218","https://m.media-amazon.com/images/M/MV5BOWQ4YTBmNTQtMDYxMC00NGFjLTkwOGQtNzdhNmY1Nzc1MzUxXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0083658/
193,Gone Girl,2014,R,2 hours 29 minutes,8.1,United States,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Carrie Coon",English,"$61,000,000 (estimated)","$370,890,259","https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt2267998/
194,Memories of Murder,2003,Not Rated,2 hours 12 minutes,8.1,South Korea,Bong Joon Ho,"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha, Song Jae-ho, Byun Hee-Bong","Korean, English","$2,800,000 (estimated)","$1,210,156","https://m.media-amazon.com/images/M/MV5BYmRjOWE5NmMtYTdkYS00ODFlLWJiMTMtYzE2NDZlZjlkZDQ0XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0353969/
195,Ratatouille,2007,G,1 hour 51 minutes,8.1,United States,"Brad Bird, Jan Pinkava","Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm, Brian Dennehy","English, French","$150,000,000 (estimated)","$623,730,087","https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0382932/
196,"Monsters, Inc.",2001,G,1 hour 32 minutes,8.1,United States,"Pete Docter, David Silverman, Lee Unkrich","Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi, James Coburn",English,"$115,000,000 (estimated)","$579,770,299","https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0198781/
197,In the Name of the Father,1993,R,2 hours 13 minutes,8.1,Ireland,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie, Philip King, Emma Thompson",English,"$13,000,000 (estimated)","$65,796,862","https://m.media-amazon.com/images/M/MV5BMGZiZDVjNzYtZWM4ZC00MzVkLThhNDEtMDJlOTBhYzVjMmNhXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0107207/
198,How to Train Your Dragon,2010,PG,1 hour 38 minutes,8.1,United States,"Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson, America Ferrera",English,"$165,000,000 (estimated)","$494,879,860","https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0892769/
199,Wild Tales,2014,R,2 hours 2 minutes,8.1,Argentina,Damián Szifron,"Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta, Marcelo Frasca",Spanish,"$3,300,000 (estimated)","$31,478,893","https://m.media-amazon.com/images/M/MV5BNzAzMjA1ODAxOV5BMl5BanBnXkFtZTgwODg4NTQzNDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt3011894/
200,The Gold Rush,1925,Approved,1 hour 35 minutes,8.1,United States,Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman, Malcolm Waite","None, English","$923,000 (estimated)","$33,626","https://m.media-amazon.com/images/M/MV5BNGU1NjYzYTAtZmY0YS00NWIzLTkzNzUtYzc2ZTIyOTIxZjVhXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0015864/
201,Sherlock Jr.,1924,Passed,45 minutes,8.2,United States,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly, Ward Crane","None, English",N/A,$399,"https://m.media-amazon.com/images/M/MV5BMjQzM2E2NjYtYmRjMC00ZmVlLTljZTgtNmQ5MGZlNDYyZTc5XkEyXkFqcGc@._V1_QL75_UX190_CR0,9,190,281_.jpg",https://www.imdb.com/title/tt0015324/
202,Jaws,1975,PG,2 hours 4 minutes,8.1,United States,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton",English,"$7,000,000 (estimated)","$477,916,625","https://m.media-amazon.com/images/M/MV5BYjViNDQzNmUtYzkxZi00NTk5LTljMmItYjJlZmZkODIxNjU1XkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg",https://www.imdb.com/title/tt0073195/
203,Mary and Max,2009,Not Rated,1 hour 32 minutes,8.1,Australia,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Eric Bana, Barry Humphries, Christopher Massey","English, Yiddish","A$8,240,000 (estimated)","$1,740,791","https://m.media-amazon.com/images/M/MV5BNzY2Mjc4NjMtNGY4Mi00NzM5LTk3ZTQtN2VkNzVkMzRmM2Y2XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",https://www.imdb.com/title/tt0978762/
204,Ford v Ferrari,2019,PG-13,2 hours 32 minutes,8.1,United States,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe, Josh Lucas","English, Italian, French, Japanese","$97,600,000 (estimated)","$226,299,480","https://m.media-amazon.com/images/M/MV5BOTBjNTEyNjYtYjdkNi00YzE5LTljYzUtZjVlYmYwZmJmZWYxXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1950186/
205,The Deer Hunter,1978,R,3 hours 3 minutes,8.1,United States,Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale, John Savage, Meryl Streep","English, Vietnamese, French, Russian, Cantonese","$15,000,000 (estimated)","$49,080,312","https://m.media-amazon.com/images/M/MV5BZGI4YmVhMzMtMWExMS00MGZiLTg2MmItM2I2MWZjODAyM2U5XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0077416/
206,The General,1926,Passed,1 hour 18 minutes,8.1,United States,"Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom",None,"$750,000 (estimated)","$1,344","https://m.media-amazon.com/images/M/MV5BMTVhM2Y1MDUtMDkxYi00Y2UxLWI2MTMtZjMzYTY4ODM4MGIzXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0017925/
207,The Wages of Fear,1953,Not Rated,2 hours 36 minutes,8.1,France,Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli, Véra Clouzot","French, English, Spanish, German, Italian, Russian",N/A,"$22,326","https://m.media-amazon.com/images/M/MV5BMDdhOGMwODQtZGM2MS00NGQxLWEyZDMtOTkzMjFjYjI3ZmM2XkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg",https://www.imdb.com/title/tt0046268/
208,Mr. Smith Goes to Washington,1939,Approved,2 hours 9 minutes,8.1,United States,Frank Capra,"James Stewart, Jean Arthur, Claude Rains, Edward Arnold, Guy Kibbee",English,"$1,900,000 (estimated)","$146,123","https://m.media-amazon.com/images/M/MV5BMDU4ZjNmMjEtMjcxYi00NDAxLWFlMjQtNWIyNjg5NWUzNTdjXkEyXkFqcGc@._V1_QL75_UX190_CR0,3,190,281_.jpg",https://www.imdb.com/title/tt0031679/
209,On the Waterfront,1954,Approved,1 hour 48 minutes,8.1,United States,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger, Pat Henning","English, Latin","$910,000 (estimated)","$3,768","https://m.media-amazon.com/images/M/MV5BZDJlYTM1ZGYtZTM4YS00MzFhLThiZjktYzQ0ZjAzMGYwZTU3XkEyXkFqcGc@._V1_QL75_UX190_CR0,3,190,281_.jpg",https://www.imdb.com/title/tt0047296/
